Chlorogalum pomeridianum var. pomeridianum	soap plant				
Allium falcifolium	sickleleaf onion				
Allium lacunosum var. lacunosum	pitted onion				
Allium peninsulare var. franciscanum	Franciscan onion	#			
Allium triquetrum	three-cornered leek	*			
Blitum californicum	California goosefoot				
Leucojum aestivum	summer snowflake	*			
Narcissus jonquilla	jonquil	*			
Narcissus pseudonarcissus	daffodil	*			
Narcissus tazetta	paper white narcissus	*			
Toxicodendron diversilobum	poison oak				
Angelica tomentosa	woolly angelica				
Anthriscus caucalis	bur chervil	*			
Apiastrum angustifolium	wild celery				
Bowlesia incana	hoary bowlesia				
Conium maculatum	poison hemlock	*			
Daucus pusillus	rattlesnake weed				
Eryngium jepsonii	Jepson's eryngo	#			
Foeniculum vulgare	fennel	*			
Heracleum maximum	cow parsnip				
Lomatium californicum	California lomatium				
Lomatium caruifolium var. caruifolium	caraway-leaved lomatium				
Lomatium dasycarpum ssp. dasycarpum	woolly-fruited lomatium				
Lomatium macrocarpum	large-fruited lomatium				
Lomatium utriculatum	common lomatium				
Osmorhiza berteroi	wood sweet cicely				
Perideridia kelloggii	Kellogg's yampah				
Sanicula bipinnata	poison sanicle				
Sanicula bipinnatifida	purple sanicle				
Sanicula crassicaulis	Pacific sanicle				
Sanicula tuberosa	turkey pea				
Scandix pecten-veneris	Venus' needle	*			
Tauschia hartwegii	Hartweg's tauschia				
Torilis arvensis	hedge parsley	*			
Torilis nodosa	knotted hedge parsley	*			
Yabea microcarpa	California hedge parsley				
Asclepias fascicularis	narrow-leaf milkweed				
Vinca major	greater periwinkle	*			
Arum italicum	Italian arum	*			
Zantedeschia aethiopica	calla lily	*			
Hedera helix	English ivy	*			
Trachycarpus fortunei	Chinese windmill palm	*			
Kniphofia uvaria	red-hot poker	*			
Achillea millefolium	yarrow				
Achyrachaena mollis	blow-wives				
Agoseris grandiflora var. grandiflora	California dandelion				
Agoseris heterophylla	annual agoseris				
Ancistrocarphus filagineus	woolly fishhooks				
Arnica discoidea	rayless arnica				
Artemisia californica	California sagebrush				
Artemisia douglasiana	California mugwort				
Baccharis glutinosa	marsh baccharis				
Baccharis pilularis ssp. consanguinea	coyote brush				
Bellis perennis	English daisy	*			
Carduus pycnocephalus ssp. pycnocephalus	Italian thistle	*			
Carduus tenuiflorus	slender-flowered thistle	*			
Centaurea melitensis	tocalote	*			
Centaurea solstitialis	yellow star-thistle	*			
Chondrilla juncea	skeleton weed	*			
Cichorium intybus	chicory	*			
Cirsium vulgare	bull thistle	*			
Crepis vesicaria ssp. taraxacifolia	hawksbeard	*			
Delairea odorata	Cape ivy	*			
Dittrichia graveolens	stinkwort	*			
Erigeron bonariensis	flax-leaved horseweed	*			
Erigeron canadensis	horseweed				
Erigeron foliosus var. foliosus	leafy fleabane				
Erigeron reductus var. angustatus	lesser California rayless fleabane				
Eriophyllum confertiflorum var. confertiflorum	golden-yarrow				
Eurybia radulina	rough-leaved aster				
Euthamia occidentalis	Western goldenrod				
Gamochaeta ustulata	purple cudweed				
Gazania linearis	gazania	*			
Grindelia camporum	great valley gumplant				
Grindelia hirsutula	hairy gumplant				
Hedypnois rhagadioloides	Crete weed	*			
Helenium puberulum	sneezeweed				
Helianthus californicus	California sunflower				
Helminthotheca echioides	bristly ox-tongue	*			
Hemizonia congesta ssp. luzulifolia	hayfield tarweed				
Hesperevax sparsiflora var. sparsiflora	erect evax				
Hesperevax acaulis	dwarf evax				
Heterotheca grandiflora	telegraph weed				
Heterotheca sessiliflora ssp. echioides	bristly goldenaster				
Hieracium albiflorum	white hawkweed				
Hypochaeris glabra	smooth cat's-ear	*			
Hypochaeris radicata	rough cat's-ear	*			
Lactuca saligna	willow lettuce	*			
Lactuca serriola	prickly lettuce	*			
Lagophylla ramosissima	common hareleaf				
Lasthenia californica ssp. californica	California goldfields				
Lasthenia gracilis	Common goldfields				
Layia gaillardioides	woodland tidytips				
Layia hieracioides	tall layia				
Layia platyglossa	tidy-tips				
Lessingia hololeuca	woolly-headed lessingia	#			
Leucanthemum vulgare	ox-eye daisy	*			
Logfia filaginoides	California cottonrose				
Logfia gallica	narrowleaf cottonrose	*			
Madia elegans	common madia				
Madia exigua	threadstem tarweed				
Madia gracilis	slender tarweed				
Madia sativa	coast tarweed				
Matricaria discoidea	pineapple weed				
Micropus californicus var. californicus	cottontop				
Microseris douglasii ssp. douglasii	Douglas' microseris				
Microseris douglasii ssp. tenella	short-scaled microseris				
Monolopia gracilens	woodland monolopia	#			
Packera breweri	Brewer's ragwort				
Pentachaeta bellidiflora	white-rayed pentachaeta	#			
Pseudognaphalium beneolens	fragrant everlasting				
Pseudognaphalium californicum	California cudweed				
Pseudognaphalium luteoalbum	weedy-white cudweed	*			
Pseudognaphalium ramosissimum	pink everlasting				
Pseudognaphalium stramineum	cotton-batting plant				
Psilocarphus tenellus	slender woolly marbles				
Rafinesquia californica	California chicory				
Rigiopappus leptocladus	wire-weed				
Soliva sessilis	common soliva	*			
Senecio aronicoides	rayless ragwort				
Senecio vulgaris	common groundsel	*			
Silybum marianum	milk thistle	*			
Sonchus asper ssp. asper	prickly sow thistle	*			
Sonchus oleraceus	common sow thistle	*			
Stebbinsoseris heterocarpa	grassland silverpuffs				
Stephanomeria virgata ssp. pleurocarpa	tall stephanomeria				
Symphyotrichum chilense	California aster				
Taraxacum officinale	common dandelion	*			
Tragopogon porrifolius	"salsify, oyster plant"	*			
Uropappus lindleyi	silverpuffs				
Urospermum picroides	prickly goldenfleece	*			
Wyethia angustifolia	narrow-leaved mule ears				
Wyethia glabra	smooth mule ears				
Berberis aquifolium	Oregon grape				
Adelinia grandis	hound's tongue				
Amsinckia intermedia	common fiddleneck				
Cryptantha flaccida	weak-stemmed cryptantha				
Cryptantha micromeres	minute-flowered cryptantha				
Gruvelia pusilla	little pectocarya				
Myosotis latifolia	broad-leaved forget-me-not	*			
Plagiobothrys fulvus var. campestris	field popcornflower				
Plagiobothrys nothofulvus	rusty popcorn flower				
Barbarea orthoceras	American wintercress				
Capsella bursa-pastoris	shepherd's purse	*			
Cardamine californica	milk maids				
Cardamine hirsuta	hairy bittercress	*			
Cardamine oligosperma	few-seeded bittercress				
Caulanthus lasiophyllus	California mustard				
Hirschfeldia incana	short-podded mustard	*			
Lepidium nitidum	shining peppergrass				
Lepidium strictum	wayside peppergrass	*			
Lunaria annua	annual moonwort	*			
Nasturtium officinale	watercress				
Raphanus sativus	radish	*			
Sisymbrium officinale	hedge mustard	*			
Thysanocarpus curvipes ssp. curvipes	hairy fringepod				
Calycanthus occidentalis	California spicebush				
Githopsis diffusa ssp. robusta	San Gabriel bluecup				
Heterocodon rariflorum	few-flowered heterocodon				
Triodanis biflora	Venus' looking glass				
Abelia xgrandiflora	glossy abelia	*			
Lonicera hispidula	pink honeysuckle				
Symphoricarpos albus var. laevigatus	common snowberry				
Symphoricarpos mollis	creeping snowberry				
Cerastium glomeratum	sticky mouse-ear chickweed	*			
Polycarpon tetraphyllum ssp. depressum	California manyseed				
Polycarpon tetraphyllum ssp. tetraphyllum	four-leaved allseed	*			
Sabulina douglasii	Douglas' sandwort				
Sagina apetala	dwarf pearlroot	*			
Silene gallica	windmill pink	*			
Silene laciniata ssp. californica	California pink				
Spergularia rubra	purple sand-spurrey	*			
Stellaria media	chickweed	*			
Cistus incanus	hairy rock-rose	*			
Crocanthemum scoparium	peak rush-rose				
Calystegia purpurata ssp. purpurata	smooth Western morning-glory				
Calystegia subacaulis ssp. subacaulis	hill morning-glory				
Calystegia collina ssp. collina	hillside morning-glory				
Convolvulus arvensis	field bindweed	*			
Cuscuta californica var. californica	California dodder				
Cuscuta subinclusa	canyon dodder				
Cornus glabrata	brown dogwood				
Cornus sericea ssp. sericea	creek dogwood				
Crassula connata	pygmy-weed				
Crassula tillaea	moss pygmy-weed	*			
Marah fabacea	California manroot				
Hesperocyparis macrocarpa	Monterey cypress	[#]			
Sequoia sempervirens	coast redwood				
Carex densa	dense sedge				
Carex praegracilis	black creeper sedge				
Carex serratodens	saw-toothed sedge				
Carex subbracteata	small-bracted sedge				
Cyperus eragrostis	tall flatsedge				
Eleocharis montevidensis	Montevideo spikerush				
Dipsacus sativus	Fuller's teasel	*			
Dryopteris arguta	coastal wood fern				
Polystichum munitum	Western sword fern				
Diospyros sp.	persimmon	*			
Equisetum telmateia ssp. braunii	giant horsetail				
Arbutus menziesii	Pacific madrone				
Arctostaphylos crustacea ssp. crustacea	brittle-leaf manzanita				
Arctostaphylos densiflora	Vine Hill manzanita				
Arctostaphylos regismontana	Kings Mountain manzanita	#			
Croton setiger	turkey-mullein				
Euphorbia lathyris	caper spurge	*			
Euphorbia peplus	petty spurge	*			
Euphorbia spathulata	warty spurge				
Acacia baileyana	Cootamundra wattle	*			
Acacia dealbata	silver wattle	*			
Acacia melanoxylon	blackwood acacia	*			
Acmispon americanus var. americanus	American trefoil				
Acmispon brachycarpus	short-podded trefoil				
Acmispon glaber var. glaber	deerweed				
Acmispon parviflorus	small-flowered trefoil				
Acmispon wrangelianus	Chile trefoil				
Astragalus gambelianus	Gambel's milkvetch				
Genista monspessulana	French broom	*			
Lathyrus latifolius	sweet pea	*			
Lathyrus vestitus var. vestitus	common Pacific pea				
Lotus corniculatus	bird's-foot trefoil	*			
Lupinus affinis	fleshy lupine				
